3097,3460
3168,3462
3096,3460
3092,3459
3118,3458
3096,3459
3108,3462
3145,3462
3100,3463
3090,3465
3191,3462
3182,3464
3096,3462
3094,3465
3075,3467
3119,3467
3157,3465
3218,3462
3229,3461
3169,3459
3239,3460
3193,3458
3253,3460
3087,3460
3153,3462
3092,3463
3189,3462
3110,3461
3095,3461
3097,3462
3100,3462
3258,3464
3194,3475
3218,3494
3148,3516
3362,3527
3160,3557
3250,3581
3365,3603
3426,3627
3122,3623
2822,3539
2533,3333
1677,2925
2187,2490
2715,2411
2982,2618
2919,3039
2957,3221
2912,3275
3029,3291
3089,3330
3196,3379
3140,3464
3056,3468
2921,3413
2991,3317
2823,3242
2925,3223
2906,3223
2924,3238
3003,3244
2961,3224
3043,3209
3074,3229
3029,3252
3008,3254
3076,3251
3038,3266
2925,3268
2917,3260
2999,3263
3086,3288
3059,3340
2978,3361
3127,3369
2989,3362
3051,3364
3036,3377
2988,3364
2984,3351
2947,3325
2994,3310
2955,3314
3057,3305
2964,3304
3036,3317
2950,3337
2899,3309
2828,3245
2926,3136
2881,3113
2670,3088
1937,2964
2485,2708
2892,2677
2822,2796
3008,3098
2953,3191
2874,3211
2921,3207
3004,3210
3030,3238
2916,3262
2901,3270
2987,3277
2964,3291
2881,3288
2926,3256
2559,3171
2018,2899
2703,2750
2963,2770
3064,3012
2936,3236
3056,3297
3014,3312
2997,3313
3014,3325
2997,3307
2968,3322
3142,3342
3094,3397
3078,3434
3160,3447
3289,3448
3221,3448
3057,3433
2933,3384
2857,3306
2954,3238
2824,3189
2735,3127
2655,3089
2620,3024
2674,2967
